video_genres,video_level,video_title,video_url,video_year,release_date
Comedy Musical Romance,"PG-13
                        
    
, 
,",Mamma Mia!,https://www.imdb.com/title/tt0795421/,2008,18 July 2008 U SA)
Documentary Music TV Special ,",",Live Aid,https://www.imdb.com/title/tt0261024/,1985,13 July 1985
Action Adventure Sci-Fi,"PG-13
                        
    
, 
,",Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,2018,27 April 2018 U SA)
Comedy Episode aired ,,The Crying Game,https://www.imdb.com/title/tt1326075/,,18 November 2008
Comedy Crime Drama TV Series ,"TV-14
                        
    
, 
,",Good Girls,https://www.imdb.com/title/tt6474378/,,2018– )
Talk-Show Episode aired ,,Phil Collins,https://www.imdb.com/title/tt1353869/,,4 January 2009
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",The Force of Gravity,https://www.imdb.com/title/tt7183156/,,11 May 2018
Comedy TV Series ,,Rita Rocks,https://www.imdb.com/title/tt1196953/,,2008–2009)
Comedy Episode aired ,,Under Pressure,https://www.imdb.com/title/tt1330461/,,25 November 2008
Comedy Episode aired ,,Take This Job and Shove It,https://www.imdb.com/title/tt1322809/,,11 November 2008
Talk-Show Episode aired ,,The Happiest Episode: D,https://www.imdb.com/title/tt10120574/,,30 March 2019
Comedy Drama,"Not Rated
                        
    
,",Operator,https://www.imdb.com/title/tt5052524/,2016,8 November 2016 U SA)
Talk-Show TV Series ,,Mark Lawson Talks to...,https://www.imdb.com/title/tt0808084/,,2003– )
Talk-Show Episode aired ,,Philip Roth,https://www.imdb.com/title/tt0829825/,,3 June 2006
Talk-Show Episode aired ,,Peter Singer,https://www.imdb.com/title/tt1704879/,,1 June 2004
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",The End,https://www.imdb.com/title/tt7183160/,,18 May 2018
Action Adventure Drama TV Series ,"TV-PG
                        
    
, 
,",Agents of S.H.I.E.L.D.,https://www.imdb.com/title/tt2364582/,,2013– )
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",The One Who Will Save Us All,https://www.imdb.com/title/tt7183150/,,4 May 2018
Drama Reality-T VT V Series ,"TV-PG
                        
    
,",The Hills,https://www.imdb.com/title/tt0489598/,,2006–2010)
Comedy Episode aired ,,Got No Time,https://www.imdb.com/title/tt1333517/,,2 December 2008
Comedy Episode aired ,,Nobody Does It Better,https://www.imdb.com/title/tt1315539/,,28 October 2008
Talk-Show TV Series ,,AniMat's Crazy Cartoon Cast,https://www.imdb.com/title/tt8807568/,,2018– )
Animation Action Adventure,"PG
                        
    
, 
,",The Incredibles,https://www.imdb.com/title/tt0317705/,2004,5 November 2004 U SA)
Talk-Show Episode aired ,,Body Odor Penalty,https://www.imdb.com/title/tt10150224/,,6 April 2019
Talk-Show Episode aired ,,The Wonderful World of Disney/Fox,https://www.imdb.com/title/tt10078692/,,23 March 2019
Talk-Show Episode aired ,,Quentin Blake,https://www.imdb.com/title/tt1323334/,,16 November 2008
Talk-Show Episode aired ,,Peter Blake,https://www.imdb.com/title/tt1989933/,,11 July 2011
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Missing Pieces,https://www.imdb.com/title/tt8416608/,,10 May 2019
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",Self Control,https://www.imdb.com/title/tt5916824/,,21 February 2017
Talk-Show Episode aired ,TV-14,The Well,https://www.imdb.com/title/tt6185744/,,30 October 2016
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",Option Two,https://www.imdb.com/title/tt7183140/,,27 April 2018
Game-Show Episode aired ,TV-PG,Episode #8.9,https://www.imdb.com/title/tt1512680/,,17 September 2009
Comedy Episode aired ,,Love on the Rocks,https://www.imdb.com/title/tt1336553/,,9 December 2008
Comedy Episode aired ,,Mother's Little Helper,https://www.imdb.com/title/tt1313768/,,24 October 2008
Talk-Show TV Series ,,The Animation Podcast,https://www.imdb.com/title/tt9088382/,,2015–2018)
Animation Adventure Comedy,"G
                        
    
, 
,",Toy Story 2,https://www.imdb.com/title/tt0120363/,1999,24 November 1999 U SA)
Animation Talk-Show Episode aired ,",",The Lorax,https://www.imdb.com/title/tt3646596/,,11 March 2012
Animation Adventure Comedy,"PG
                        
    
, 
,",Home,https://www.imdb.com/title/tt2224026/,2015,27 March 2015 U SA)
Talk-Show Episode aired ,,E3 2018 Recap,https://www.imdb.com/title/tt9021604/,,15 June 2018
Comedy Fantasy Sci-Fi,"PG-13
                        
    
, 
,",Smosh: The Movie,https://www.imdb.com/title/tt4184878/,2015,24 July 2015 U SA)
Talk-Show Episode aired ,,One Giant Iago Ahead,https://www.imdb.com/title/tt10042228/,,16 March 2019
Talk-Show Episode aired ,,Rabbi Lionel Blue,https://www.imdb.com/title/tt1205777/,,5 March 2008
Talk-Show Episode aired ,,Patrick Moore,https://www.imdb.com/title/tt2632488/,,13 January 2013
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.2,https://www.imdb.com/title/tt8416896/,,17 May 2019
Action Adventure Drama Episode aired ,"TV-PG
                        
    
, 
,",What If...,https://www.imdb.com/title/tt5916832/,,4 April 2017
Action Adventure Drama Episode aired ,"TV-PG
                        
    
, 
,",The Man Behind the Shield,https://www.imdb.com/title/tt5916818/,,14 February 2017
Action Adventure Crime Video game released ,", 
,",Batman: Arkham Knight,https://www.imdb.com/title/tt3554580/,2015,23 June 2015
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",All Roads Lead...,https://www.imdb.com/title/tt7183130/,,20 April 2018
Game-Show Reality-T VT V Series ,"TV-14
                        
    
,",Top Chef,https://www.imdb.com/title/tt0765425/,,2006– )
Comedy Episode aired ,,I Write the Songs,https://www.imdb.com/title/tt1341054/,,16 December 2008
Comedy Episode aired ,,Flirting with Disaster,https://www.imdb.com/title/tt1313767/,,23 October 2008
Game-Show Episode aired ,TV-PG,Episode #8.10,https://www.imdb.com/title/tt1512678/,,18 September 2009
Animation Adventure Comedy,"PG
                        
    
, 
,",Shrek,https://www.imdb.com/title/tt0126029/,2001,18 May 2001 U SA)
Action Adventure Fantasy,"PG
                        
    
, 
,",Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,1983,25 May 1983 U SA)
Family Sci-Fi,"PG
                        
    
,",E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,1982,11 June 1982 U SA)
Talk-Show Episode aired ,,Oscars 2019 Recap,https://www.imdb.com/title/tt9839512/,,25 February 2019
Documentary Animation Comedy Episode aired ,"TV-MA
                        
    
, 
,",Smosh: The Movie,https://www.imdb.com/title/tt6213052/,,11 December 2015
Action Adventure Fantasy,"PG-13
    
, 
,",Godzilla: King of the Monsters,https://www.imdb.com/title/tt3741700/,2019,31 May 2019 U SA)
Talk-Show Episode aired ,,Richard Wilson,https://www.imdb.com/title/tt1599087/,,30 September 2009
Talk-Show Episode aired ,,P.D. James,https://www.imdb.com/title/tt1213444/,,11 March 2006
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.3,https://www.imdb.com/title/tt8416904/,,24 May 2019
Action Adventure Drama Episode aired ,"TV-PG
                        
    
, 
,",Identity and Change,https://www.imdb.com/title/tt5916836/,,11 April 2017
Adventure Comedy,"PG-13
                        
    
,",Austin Powers: International Man of Mystery,https://www.imdb.com/title/tt0118655/,1997,2 May 1997 U SA)
Animation Action Crime Video ,"PG-13
                        
    
, 
,",Batman: Assault on Arkham,https://www.imdb.com/title/tt3139086/,2014,29 July 2014
Action Adventure Drama Episode aired ,"TV-PG
                        
    
, 
,",The Asset,https://www.imdb.com/title/tt3130186/,,8 October 2013
Action Drama Mystery Episode aired ,"TV-14
                        
    
, 
,",Run,https://www.imdb.com/title/tt7641624/,,16 May 2018
Comedy Episode aired ,,The Girl Is Mine,https://www.imdb.com/title/tt1342025/,,5 January 2009
Comedy Episode aired ,,You Gotta Have Friends,https://www.imdb.com/title/tt1313769/,,22 October 2008
Game-Show TV Series ,,Who Do You Trust?,https://www.imdb.com/title/tt0048857/,,1956–1963)
Game-Show Episode aired ,TV-PG,Episode #8.11,https://www.imdb.com/title/tt1515055/,,21 September 2009
Animation Comedy Episode aired ,"TV-MA
                        
    
,",Chickenpox,https://www.imdb.com/title/tt0766079/,,26 August 1998
Animation Adventure Comedy,"G
                        
    
, 
,",Chicken Run,https://www.imdb.com/title/tt0120630/,2000,23 June 2000 U SA)
Music TV Special ,TV-14,The Oscars,https://www.imdb.com/title/tt9168816/,2019,24 February 2019
Comedy Horror Sci-Fi,"Not Rated
                        
    
, 
,",Hobgoblins,https://www.imdb.com/title/tt0089280/,1988,14 July 1988 U SA)
Comedy Episode aired ,TV-14,Kong: Skull Island,https://www.imdb.com/title/tt7335594/,,5 September 2017
Talk-Show Episode aired ,,Ridley Scott,https://www.imdb.com/title/tt0909232/,,22 October 2006
Talk-Show Episode aired ,,Noel Gallagher,https://www.imdb.com/title/tt2317847/,,30 March 2012
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.4,https://www.imdb.com/title/tt8416910/,,31 May 2019
Action Adventure Fantasy,"PG
                        
    
, 
,",Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/,1977,25 May 1977 U SA)
Comedy Music TV Series ,"TV-PG
                        
    
,",Rowan & Martin's Laugh-In,https://www.imdb.com/title/tt0062601/,,1967–1973)
Action Fantasy,",",Batwoman and Robin Meet the Queen of the Vampires,https://www.imdb.com/title/tt1194654/,1972,18 May 1972 Philippines)
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",Inside Voices,https://www.imdb.com/title/tt7183120/,,6 April 2018
Action Drama Mystery Episode aired ,"TV-14
                        
    
, 
,",Kirkman Agonistes,https://www.imdb.com/title/tt7641608/,,18 April 2018
Drama Mystery TV Series ,"TV-14
                        
    
,",House,https://www.imdb.com/title/tt0412142/,,2004–2012)
Comedy Episode aired ,,"Lies, Lies, Lies, Yeah-ah",https://www.imdb.com/title/tt1314079/,,21 October 2008
Comedy Talk-Show Episode aired ,",",Robert Blake/Jim Carrey/Bud Greenspan,https://www.imdb.com/title/tt6267038/,,24 November 1983
Reality-T VT V Series ,TV-14,The Real Housewives of New York City,https://www.imdb.com/title/tt1191056/,,2008– )
Comedy Drama Family TV Series ,"TV-G
                        
    
, 
,",Family Matters,https://www.imdb.com/title/tt0096579/,,1989–1998)
Horror Sci-Fi,"R
                        
    
,",Alien,https://www.imdb.com/title/tt0078748/,1979,22 June 1979 U SA)
News TV Special ,,The 25th Annual Academy Awards,https://www.imdb.com/title/tt0337799/,1953,19 March 1953
Documentary Animation Comedy Episode aired ,"TV-MA
                        
    
, 
,",Robot Monster,https://www.imdb.com/title/tt6167886/,,1 May 2015
Biography Comedy Drama,"R
                        
    
, 
,",Vice,https://www.imdb.com/title/tt6266538/,2018,25 December 2018 U SA)
Talk-Show Episode aired ,,Rob Brydon,https://www.imdb.com/title/tt2071848/,,4 October 2011
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.5,https://www.imdb.com/title/tt8416912/,,2019
Music TV Series ,,Whistle Test,https://www.imdb.com/title/tt0259795/,,1971–2018)
Talk-Show Episode aired ,,Episode dated 19 June 2006,https://www.imdb.com/title/tt0820725/,,19 June 2006
Comedy Episode aired ,TV-14,Live from Studio 6H,https://www.imdb.com/title/tt2336547/,,26 April 2012
Adult Fantasy Sci-Fi Video ,"X
                        
    
, 
,",Batgirl XXX: An Extreme Comixxx Parody,https://www.imdb.com/title/tt2511450/,2012,4 September 2012
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",Rise and Shine,https://www.imdb.com/title/tt7183116/,,30 March 2018
Action Crime Drama,"R
                        
    
, 
,",No Way Out,https://www.imdb.com/title/tt0093640/,1987,14 August 1987 U SA)
T V Special ,,2011 Primetime Creative Arts Emmy Awards,https://www.imdb.com/title/tt2060474/,2011,17 September 2011
Comedy Episode aired ,,Pilot,https://www.imdb.com/title/tt1314975/,,20 October 2008
Crime Drama TV Series ,"TV-PG
                        
    
,",Baretta,https://www.imdb.com/title/tt0072471/,,1975–1978)
Reality-T VEpisode aired ,TV-14,Reunion: Watch What Happens - Part 1,https://www.imdb.com/title/tt1443430/,,12 May 2009
